split,seq_id,frame_idx,active_points_forward_sensor,road_count,marking_count,other_count,ignored_count,raw_8_count,raw_9_count,raw_10_count
training,039,14,70191,25304,180,44677,30,166,0,14
training,039,15,71011,20892,258,49843,18,250,0,8
training,039,16,67065,22048,222,44706,89,215,0,7
training,039,17,67005,23633,101,43244,27,88,0,13
training,039,18,69614,24280,95,45160,79,88,0,7
training,039,19,68201,24618,112,43436,35,106,0,6
training,039,20,70315,24266,145,45871,33,135,0,10
training,039,21,71366,23619,156,47546,45,152,0,4
training,039,22,73876,23279,250,50317,30,240,0,10
training,039,23,69853,23415,283,46138,17,278,0,5
training,039,24,69037,24168,240,44610,19,240,0,0
training,039,25,68775,25003,139,43607,26,139,0,0
training,039,26,71322,25612,90,45562,58,88,0,2
training,039,27,70173,25883,88,44157,45,84,0,4
training,039,28,71326,25797,110,45389,30,103,0,7
training,039,29,71563,25734,140,45663,26,134,0,6
training,039,30,73582,25476,174,47906,26,165,0,9
training,039,31,71287,24681,295,46274,37,280,0,15
training,039,32,71154,23989,302,46833,30,292,0,10
training,039,33,71233,23558,214,47437,24,201,0,13
training,039,34,73381,23361,72,49921,27,63,0,9
training,039,35,70027,23592,90,46344,1,83,0,7
training,039,36,68624,23405,101,45109,9,93,0,8
training,039,37,67503,23313,120,44057,13,102,0,18
training,039,38,69787,23517,145,46112,13,127,0,18
training,039,39,68655,23967,253,44421,14,238,0,15
training,039,40,69994,23851,400,45725,18,381,0,19
training,039,41,70383,23947,297,46131,8,275,0,22
training,039,42,71130,24072,98,46941,19,80,0,18
training,039,43,68892,24864,88,43918,22,67,0,21
training,039,44,68723,26544,98,42050,31,78,0,20
training,039,45,69208,28082,112,41000,14,95,0,17
training,039,46,72336,28918,171,43237,10,147,0,24
training,039,47,70795,28121,278,42382,14,257,0,21
training,039,48,70564,28290,246,42017,11,220,0,26
training,039,49,72646,28977,185,43466,18,155,0,30
training,039,50,70523,29057,127,41328,11,95,0,32
training,039,51,70177,28435,71,41656,15,41,0,30
training,039,52,69635,27520,97,42009,9,67,0,30
training,039,53,71405,26594,120,44677,14,92,0,28
training,039,54,69191,25925,162,43095,9,124,0,38
training,039,55,69356,25560,194,43589,13,160,0,34
training,039,56,69673,25168,185,44300,20,150,0,35
training,039,57,71977,24418,183,47357,19,140,0,43
training,039,58,70317,23885,205,46199,28,162,0,43
training,039,59,70549,23465,168,46896,20,119,0,49
training,039,60,70600,22720,139,47712,29,92,0,47
training,039,61,72312,21572,159,50545,36,117,0,42
training,039,62,68656,20677,196,47773,10,158,0,38
training,039,63,65375,19739,227,45389,20,189,0,38
training,039,64,64927,19781,230,44869,47,170,0,60
training,039,65,67634,20419,302,46852,61,229,0,73
training,039,66,67596,21132,275,46156,33,199,0,76
training,039,67,68083,21308,246,46510,19,152,0,94
training,039,68,66552,21336,125,45079,12,61,0,64
training,039,69,67897,21304,164,46397,32,60,0,104
training,039,70,66041,21513,171,44319,38,80,0,91
training,039,71,67361,22310,229,44780,42,129,0,100
training,039,72,69228,22789,270,46123,46,159,0,111
training,039,73,72799,22515,290,49917,77,174,0,116
training,039,74,71208,22076,270,48837,25,165,0,105
training,039,75,71276,21719,354,49169,34,210,0,144
training,039,76,71310,21498,321,49433,58,162,0,159
training,039,77,73493,21187,240,52020,46,98,0,142
training,039,78,71216,20503,290,50403,20,93,0,197
training,039,79,70969,18365,428,52114,62,180,0,248
training,040,0,67798,20162,875,46706,55,624,0,251
training,040,1,66624,20223,746,45617,38,635,0,111
training,040,2,68689,19632,766,48251,40,625,0,141
training,040,3,67318,19110,775,47400,33,616,0,159
training,040,4,65043,19216,753,45038,36,632,0,121
training,040,5,65041,19775,741,44470,55,627,0,114
training,040,6,68230,20265,759,47142,64,632,0,127
training,040,7,65370,20694,828,43815,33,648,0,180
training,040,8,63846,20394,780,42622,50,647,0,133
training,040,9,64345,19469,775,44057,44,634,0,141
training,040,10,67075,18647,863,47518,47,625,0,238
training,040,11,62537,18957,755,42793,32,633,0,122
training,040,12,64420,19799,820,43742,59,635,0,185
training,040,13,66054,19975,862,45179,38,639,0,223
training,040,14,63593,20060,785,42706,42,638,0,147
training,040,15,64305,20388,816,43065,36,646,0,170
training,040,16,62825,20763,907,41152,3,640,0,267
training,040,17,63453,21763,833,40849,8,635,0,198
training,040,18,63028,22300,887,39825,16,630,0,257
training,040,19,63796,22475,932,40361,28,612,0,320
training,040,20,63872,22413,900,40557,2,623,0,277
training,040,21,64859,22011,902,41939,7,616,0,286
training,040,22,63420,22147,867,40398,8,609,0,258
training,040,23,63216,22443,711,40057,5,602,0,109
training,040,24,63330,22551,717,40055,7,597,0,120
training,040,25,64710,22725,736,41246,3,587,0,149
training,040,26,63164,22548,730,39881,5,593,0,137
training,040,27,62909,22147,781,39971,10,597,0,184
training,040,28,62940,22163,789,39984,4,597,0,192
training,040,29,64522,22369,808,41340,5,586,0,222
training,040,30,62784,22184,818,39779,3,574,0,244
training,040,31,62282,20965,858,40446,13,530,0,328
training,040,32,61512,20282,567,40655,8,515,0,52
training,040,33,62556,19754,531,42268,3,490,0,41
training,040,34,60862,19410,581,40862,9,469,0,112
training,040,35,60526,18656,562,41300,8,437,0,125
training,040,36,59881,17199,576,42102,4,407,0,169
training,040,37,60816,16083,580,44139,14,365,0,215
training,040,38,59214,15508,643,43055,8,332,0,311
training,040,39,59355,14940,687,43723,5,304,0,383
training,040,40,58956,13506,754,44688,8,260,0,494
training,040,41,59358,10739,846,47766,7,216,0,630
training,040,42,56493,7207,1161,48116,9,146,0,1015
training,040,43,55349,4431,1915,48982,21,89,0,1826
training,040,44,56708,2964,1823,51885,36,52,0,1771
training,040,45,55376,2860,1090,51395,31,95,0,995
training,040,46,55042,2239,428,52327,48,227,0,201
training,040,47,55193,2112,296,52746,39,153,0,143
training,040,48,56782,2156,309,54289,28,99,0,210
training,040,49,56039,2450,357,53195,37,95,0,262
training,040,50,56404,2489,346,53529,40,85,0,261
training,040,51,56296,2038,450,53760,48,59,0,391
training,040,52,57710,1740,351,55578,41,32,0,319
training,040,53,56460,2018,312,54098,32,41,0,271
training,040,54,57462,3143,822,53462,35,44,0,778
training,040,55,59458,6625,937,51872,24,184,0,753
training,040,56,64971,11953,1529,51460,29,359,0,1170
training,040,57,68328,17381,2105,48817,25,727,0,1378
training,040,58,69507,20701,2460,46331,15,891,0,1569
training,040,59,69368,20793,2514,46052,9,828,0,1686
training,040,60,71159,19379,2424,49342,14,657,0,1767
training,040,61,68636,18082,2319,48219,16,529,0,1790
training,040,62,68778,17645,2477,48644,12,480,0,1997
training,040,63,68593,17812,2951,47818,12,478,0,2473
training,040,64,70932,17694,3596,49633,9,459,0,3137
training,040,65,68997,17167,4351,47471,8,386,0,3965
training,040,66,69043,16550,5029,47452,12,208,0,4821
training,040,67,69050,17207,4656,47174,13,214,0,4442
training,040,68,71244,18266,4265,48701,12,245,0,4020
training,040,69,69414,19400,3873,46118,23,278,0,3595
training,040,70,69494,20587,3293,45591,23,331,0,2962
training,040,71,69573,21626,2433,45500,14,390,0,2043
training,040,72,71522,22898,848,47762,14,446,0,402
training,040,73,69440,22839,630,45957,14,598,0,32
training,040,74,69442,22821,660,45946,15,617,0,43
training,040,75,69473,22962,679,45812,20,610,0,69
training,040,76,69497,23036,675,45767,19,637,0,38
training,040,77,69583,22983,690,45877,33,628,0,62
training,040,78,69537,22915,719,45873,30,650,0,69
training,040,79,71822,22692,752,48347,31,704,0,48
training,041,0,69154,22897,743,45406,108,416,16,311
training,041,1,69154,22894,745,45407,108,417,16,312
training,041,2,69441,23126,652,45567,96,325,13,314
training,041,3,72253,23648,501,48019,85,176,21,304
training,041,4,70144,23708,552,45815,69,187,33,332
training,041,5,70259,23573,622,45998,66,244,32,346
training,041,6,72389,23902,790,47660,37,344,51,395
training,041,7,70169,24135,895,45107,32,409,49,437
training,041,8,70273,24439,1066,44725,43,573,45,448
training,041,9,70177,24341,1051,44745,40,511,45,495
training,041,10,72420,24401,914,47049,56,308,75,531
training,041,11,70257,24222,992,44992,51,318,74,600
training,041,12,70214,23948,1229,45010,27,456,122,651
training,041,13,70373,23764,1266,45309,34,456,104,706
training,041,14,72751,24238,1150,47332,31,329,136,685
training,041,15,70737,24546,1231,44932,28,374,140,717
training,041,16,71459,25048,1493,44887,31,491,173,829
training,041,17,72074,25750,1536,44750,38,428,218,890
training,041,18,74530,26503,1452,46539,36,230,211,1011
training,041,19,72221,26788,1572,43815,46,209,269,1094
training,041,20,72099,27017,1763,43274,45,273,278,1212
training,041,21,72095,27504,1939,42610,42,338,223,1378
training,041,22,74261,27848,2230,44141,42,411,296,1523
training,041,23,72162,28337,2516,41254,55,483,335,1698
training,041,24,72268,29024,2882,40315,47,649,344,1889
training,041,25,72132,29547,3128,39405,52,709,401,2018
training,041,26,74530,30340,3118,41021,51,535,420,2163
training,041,27,72210,30539,3277,38333,61,509,444,2324
training,041,28,72100,30660,3586,37792,62,419,528,2639
training,041,29,72157,31521,3862,36727,47,216,631,3015
training,041,30,74331,32535,4474,37270,52,295,764,3415
training,041,31,72360,33421,5403,33488,48,368,1037,3998
training,041,32,72767,33829,6588,32314,36,418,1576,4594
training,041,33,72773,34107,7495,31129,42,147,2107,5241
training,041,34,75196,36554,5927,32684,31,38,7,5882
training,041,35,73211,36673,6717,29793,28,33,0,6684
training,041,36,73679,36467,7846,29336,30,35,0,7811
training,041,37,73512,35182,9408,28887,35,23,0,9385
training,041,38,73288,36498,6839,29912,39,15,0,6824
training,041,39,72923,37650,4407,30829,37,9,0,4398
training,041,40,71768,38217,1660,31856,35,12,0,1648
training,041,41,72704,36439,1092,35140,33,9,0,1083
training,041,42,69879,34616,1025,34214,24,12,0,1013
training,041,43,70059,32768,952,36310,29,19,0,933
training,041,44,70383,30658,894,38794,37,28,0,866
training,041,45,73977,28690,846,44407,34,22,0,824
training,041,46,71519,25032,839,45617,31,25,0,814
training,041,47,70598,21205,918,48432,43,30,0,888
training,041,48,69624,18475,1005,50108,36,31,0,974
training,041,49,71187,16898,1159,53093,37,40,0,1119
training,041,50,69251,16750,1371,51092,38,64,0,1307
training,041,51,69738,17183,1705,50807,43,68,0,1637
training,041,52,69931,17359,2220,50304,48,99,0,2121
training,041,53,72151,16695,2789,52610,57,114,0,2675
training,041,54,69900,15027,3656,51172,45,133,0,3523
training,041,55,69855,13518,4050,52243,44,165,0,3885
training,041,56,69449,13528,2863,53024,34,251,0,2612
training,041,57,71389,14263,1579,55504,43,369,0,1210
training,041,58,69608,15225,523,53812,48,515,0,8
training,041,59,70037,15682,435,53879,41,432,0,3
training,041,60,70026,16125,144,53714,43,140,0,4
training,041,61,71558,16156,136,55231,35,124,0,12
training,041,62,69152,15891,159,53065,37,130,0,29
training,041,63,68788,15840,232,52684,32,202,0,30
training,041,64,68391,16455,275,51626,35,249,0,26
training,041,65,70655,17424,389,52806,36,353,0,36
training,041,66,68492,18641,533,49293,25,493,0,40
training,041,67,68477,20104,593,47743,37,562,0,31
training,041,68,68196,20766,449,46944,37,422,0,27
training,041,69,70429,20795,150,49442,42,125,0,25
training,041,70,68196,20345,221,47589,41,186,0,35
training,041,71,67905,21188,313,46381,23,278,0,35
training,041,72,70347,22500,348,47480,19,303,2,43
training,041,73,68230,23662,387,44151,30,356,0,31
training,041,74,68502,24354,546,43569,33,502,0,44
training,041,75,68722,24880,474,43337,31,426,2,46
training,041,76,71054,25384,303,45324,43,253,2,48
training,041,77,69213,26089,231,42863,30,171,1,59
training,041,78,69502,26896,282,42292,32,241,0,41
training,041,79,69502,26910,274,42287,31,234,0,40
training,042,0,70450,19457,1646,49297,50,58,0,1588
training,042,1,70450,19449,1647,49305,49,59,0,1588
training,042,2,68344,18109,1853,48339,43,75,0,1778
training,042,3,68900,17593,2303,48949,55,86,0,2217
training,042,4,69008,17719,2927,48329,33,98,0,2829
training,042,5,71576,18112,4065,49380,19,129,0,3936
training,042,6,70727,19331,4561,46794,41,187,0,4374
training,042,7,70623,20114,3451,47026,32,249,0,3202
training,042,8,72728,21190,2252,49232,54,314,0,1938
training,042,9,70492,23110,545,46806,31,454,0,91
training,042,10,70383,23456,380,46524,23,376,0,4
training,042,11,70396,23622,257,46488,29,254,0,3
training,042,12,72531,23843,168,48468,52,168,0,0
training,042,13,70542,24169,178,46153,42,178,0,0
training,042,14,70861,24638,252,45910,61,252,0,0
training,042,15,70975,25892,212,44823,48,212,0,0
training,042,16,73207,26028,271,46866,42,271,0,0
training,042,17,70940,25662,285,44966,27,285,0,0
training,042,18,70638,24731,384,45497,26,384,0,0
training,042,19,70289,24316,298,45642,33,298,0,0
training,042,20,72369,23948,125,48255,41,125,0,0
training,042,21,70570,23476,134,46934,26,134,0,0
training,042,22,70717,23151,173,47340,53,173,0,0
training,042,23,70614,22714,217,47647,36,217,0,0
training,042,24,72674,22396,239,50004,35,239,0,0
training,042,25,70699,22237,285,48133,44,285,0,0
training,042,26,70653,22170,334,48111,38,334,0,0
training,042,27,70732,22378,273,48026,55,273,0,0
training,042,28,72873,22802,122,49890,59,122,0,0
training,042,29,70852,22944,109,47757,42,107,0,2
training,042,30,70947,22987,139,47788,33,137,0,2
training,042,31,70817,22945,169,47675,28,163,0,6
training,042,32,72767,22779,220,49745,23,217,0,3
training,042,33,70727,22924,244,47532,27,238,0,6
training,042,34,70738,23051,344,47316,27,342,0,2
training,042,35,70432,23090,321,46971,50,315,0,6
training,042,36,72498,23038,227,49202,31,223,0,4
training,042,37,70354,23133,132,47056,33,128,0,4
training,042,38,70706,23406,170,47087,43,166,0,4
training,042,39,72811,23661,211,48886,53,207,0,4
training,042,40,70672,23523,270,46827,52,265,0,5
training,042,41,70814,23551,316,46915,32,307,0,9
training,042,42,70626,23798,426,46366,36,416,0,10
training,042,43,72692,24055,359,48240,38,354,0,5
training,042,44,70737,24179,294,46230,34,282,0,12
training,042,45,70787,24713,208,45831,35,189,0,19
training,042,46,70751,25091,219,45406,35,197,0,22
training,042,47,72985,25174,312,47456,43,296,0,16
training,042,48,71101,25256,245,45569,31,229,0,16
training,042,49,71124,25009,316,45757,42,297,0,19
training,042,50,71177,24689,429,46008,51,402,0,27
training,042,51,73332,24540,460,48283,49,432,0,28
training,042,52,71434,24504,340,46550,40,315,0,25
training,042,53,71447,24490,197,46718,42,165,0,32
training,042,54,71327,24224,173,46894,36,140,0,33
training,042,55,73615,24032,197,49349,37,154,0,43
training,042,56,71438,23691,257,47450,40,209,0,48
training,042,57,71391,23260,299,47796,36,260,0,39
training,042,58,71268,22719,363,48152,34,312,0,51
training,042,59,73192,22318,495,50345,34,434,0,61
training,042,60,71031,22087,441,48459,44,371,0,70
training,042,61,70804,21782,317,48674,31,238,0,79
training,042,62,70342,21277,240,48786,39,161,0,79
training,042,63,71849,20155,300,51358,36,211,0,89
training,042,64,69303,18962,352,49950,39,259,0,93
training,042,65,61438,18384,398,42629,27,294,0,104
training,042,66,57186,18605,523,37992,66,419,0,104
training,042,67,58757,19538,537,38578,104,381,0,156
training,042,68,58051,20145,481,37265,160,318,0,163
training,042,69,58307,20763,352,37078,114,160,0,192
training,042,70,63114,22576,495,39981,62,193,0,302
training,042,71,62601,23711,584,38172,134,251,0,333
training,042,72,66337,24800,670,40793,74,344,0,326
training,042,73,70959,25620,808,44474,57,485,0,323
training,042,74,73543,26100,780,46613,50,430,0,350
training,042,75,71244,25888,676,44634,46,323,0,353
training,042,76,71270,25699,649,44878,44,223,0,426
training,042,77,71322,25892,744,44647,39,235,0,509
training,042,78,73367,25997,783,46538,49,292,0,491
training,042,79,73367,26009,782,46526,50,291,0,491
training,043,0,71902,29202,582,42047,71,360,10,212
training,043,1,71902,29191,594,42051,66,376,0,218
training,043,2,71835,29057,739,41980,59,496,0,243
training,043,3,71964,29157,822,41926,59,548,0,274
training,043,4,74126,29689,640,43739,58,329,0,311
training,043,5,71956,30251,539,41108,58,226,0,313
training,043,6,71924,30021,816,41048,39,370,0,446
training,043,7,74143,30000,1011,43094,38,514,0,497
training,043,8,72114,29840,1286,40947,41,757,0,529
training,043,9,72230,30301,1093,40804,32,539,0,554
training,043,10,72033,30784,768,40452,29,197,0,571
training,043,11,73977,30766,842,42335,34,213,0,629
training,043,12,71356,30720,1019,39583,34,309,0,710
training,043,13,71368,30655,1174,39510,29,422,0,752
training,043,14,71179,30733,1495,38905,46,638,0,857
training,043,15,73117,31448,1565,40055,49,577,0,988
training,043,16,70812,32144,1504,37124,40,352,0,1152
training,043,17,70864,32346,1670,36778,70,230,0,1440
training,043,18,70786,32411,2003,36325,47,283,0,1720
training,043,19,72672,32384,2402,37849,37,400,0,2002
training,043,20,70407,33028,2864,34475,40,519,0,2345
training,043,21,70122,33463,3331,33289,39,605,0,2726
training,043,22,70054,34648,3517,31863,26,433,0,3084
training,043,23,72685,35784,3908,32974,19,357,0,3551
training,043,24,70912,37056,4468,29367,21,420,0,4048
training,043,25,71377,37843,5194,28315,25,542,0,4652
training,043,26,71751,38119,5776,27836,20,420,0,5356
training,043,27,74057,37580,6694,29759,24,511,0,6183
training,043,28,72048,36896,7530,27599,23,696,0,6834
training,043,29,72249,36135,8318,27767,29,577,0,7741
training,043,30,72656,35445,9292,27890,29,175,0,9117
training,043,31,75021,37043,8014,29946,18,68,0,7946
training,043,32,73015,39368,5710,27911,26,60,0,5650
training,043,33,72801,42168,1936,28679,18,55,0,1881
training,043,34,72147,40837,1610,29674,26,43,0,1567
training,043,35,74076,39338,1579,33132,27,65,0,1514
training,043,36,71784,37907,1551,32301,25,86,0,1465
training,043,37,71558,36222,1441,33878,17,77,0,1364
training,043,38,71494,34006,1461,36014,13,98,0,1363
training,043,39,70919,28895,1824,40175,25,139,0,1685
training,043,40,70575,26988,2133,41434,20,147,0,1986
training,043,41,70479,25847,2576,42037,19,165,0,2411
training,043,42,72964,25355,3273,44318,18,203,0,3070
training,043,43,70752,24758,4368,41600,26,228,0,4140
training,043,44,70919,24018,5662,41213,26,287,0,5375
training,043,45,70936,25972,4057,40892,15,424,0,3633
training,043,46,73049,28321,2059,42636,33,600,0,1459
training,043,47,70678,30466,757,39419,36,746,0,11
training,043,48,70879,32305,618,37926,30,597,0,21
training,043,49,70831,33736,277,36783,35,272,0,5
training,043,50,73154,34245,361,38507,41,350,0,11
training,043,51,70999,33582,475,36907,35,460,0,15
training,043,52,70877,32010,601,38232,34,579,0,22
training,043,53,70771,30422,778,39546,25,749,0,29
training,043,54,72849,29953,623,42255,18,586,0,37
training,043,55,70884,30300,342,40224,18,302,0,40
training,043,56,70860,30582,346,39917,15,310,0,36
training,043,57,70758,30408,399,39939,12,367,0,32
training,043,58,72801,30074,539,42177,11,484,0,55
training,043,59,70654,30265,568,39809,12,526,0,42
training,043,60,70736,30581,710,39426,19,655,0,55
training,043,61,70657,31242,588,38796,31,521,0,67
training,043,62,72509,31765,327,40378,39,257,0,70
training,043,63,70221,31202,450,38555,14,374,0,76
training,043,64,70075,30277,558,39217,23,460,0,98
training,043,65,69753,30010,634,39089,20,531,0,103
training,043,66,71480,30308,782,40371,19,654,0,128
training,043,67,69187,30954,706,37506,21,567,0,139
training,043,68,68994,31465,607,36903,19,445,0,162
training,043,69,68557,31129,593,36819,16,412,0,181
training,043,70,70121,30564,641,38899,17,449,0,192
training,043,71,67326,29641,928,36742,15,641,0,287
training,043,72,66995,29364,1162,36456,13,827,0,335
training,043,73,68549,29350,1029,38141,29,682,0,347
training,043,74,66420,29223,826,36357,14,422,0,404
training,043,75,66418,28993,861,36548,16,434,0,427
training,043,76,66238,28906,1032,36272,28,529,0,503
training,043,77,68969,29017,1209,38722,21,623,0,586
training,043,78,67267,29233,1291,36721,22,664,0,627
training,043,79,67267,29234,1299,36713,21,669,0,630
training,044,0,67138,29795,499,36828,16,461,0,38
training,044,1,68357,29297,478,38560,22,431,0,47
training,044,2,66625,29157,220,37234,14,152,0,68
training,044,3,66707,29016,214,37460,17,180,0,34
training,044,4,66820,29233,322,37246,19,281,0,41
training,044,5,69206,29174,485,39539,8,435,0,50
training,044,6,67499,29102,532,37862,3,460,0,72
training,044,7,67246,29608,261,37372,5,227,0,34
training,044,8,68618,29583,293,38740,2,251,0,42
training,044,9,66517,29609,386,36520,2,329,0,57
training,044,10,65857,29212,441,36201,3,421,0,20
training,044,11,65340,29019,174,36144,3,149,0,25
training,044,12,66511,29278,226,37004,3,192,0,34
training,044,13,64983,29987,323,34668,5,274,0,49
training,044,14,64257,30844,383,33027,3,353,0,30
training,044,15,63281,31133,508,31637,3,482,0,26
training,044,16,63361,30874,287,32197,3,253,0,34
training,044,17,61821,30370,269,31180,2,229,0,40
training,044,18,62228,29722,343,32163,0,318,0,25
training,044,19,62502,29691,356,32453,2,327,0,29
training,044,20,64406,29955,479,33969,3,439,0,40
training,044,21,63735,30522,351,32853,9,325,0,26
training,044,22,63929,30393,225,33306,5,190,0,35
training,044,23,63488,29105,305,34073,5,274,0,31
training,044,24,64492,27526,358,36600,8,326,0,32
training,044,25,63230,26575,462,36187,6,440,0,22
training,044,26,63985,26445,346,37185,9,327,0,19
training,044,27,64533,26456,200,37869,8,163,2,35
training,044,28,66097,25951,326,39813,7,276,2,48
training,044,29,64825,25311,361,39146,7,310,11,40
training,044,30,64456,23888,513,40048,7,451,11,51
training,044,31,63908,22244,441,41212,11,355,10,76
training,044,32,64675,20940,169,43560,6,118,15,36
training,044,33,63397,20379,248,42763,7,180,14,54
training,044,34,64031,20191,307,43526,7,242,3,62
training,044,35,64344,20347,424,43568,5,323,12,89
training,044,36,66156,20384,410,45354,8,335,15,60
training,044,37,64975,20417,211,44335,12,135,13,63
training,044,38,65202,20356,273,44558,15,177,19,77
training,044,39,67457,21489,317,45642,9,242,15,60
training,044,40,66080,21823,500,43750,7,377,27,96
training,044,41,66298,22608,392,43291,7,270,28,94
training,044,42,66417,23620,276,42513,8,145,21,110
training,044,43,68627,25122,319,43174,12,179,25,115
training,044,44,67588,26961,382,40237,8,227,21,134
training,044,45,68441,28576,480,39381,4,332,24,124
training,044,46,69155,29720,518,38908,9,389,15,114
training,044,47,71363,29997,664,40691,11,514,18,132
training,044,48,69827,30186,543,39083,15,387,15,141
training,044,49,69982,30459,460,39056,7,283,23,154
training,044,50,70583,30770,519,39285,9,369,23,127
training,044,51,73312,31072,570,41657,13,421,21,128
training,044,52,71562,31245,516,39790,11,379,23,114
training,044,53,71888,31388,625,39866,9,512,11,102
training,044,54,72086,31557,646,39879,4,495,5,146
training,044,55,74450,31755,432,42257,6,262,6,164
training,044,56,72231,31754,390,40082,5,247,7,136
training,044,57,72005,31283,457,40262,3,323,12,122
training,044,58,71783,30603,552,40624,4,394,20,138
training,044,59,73904,29993,619,43287,5,429,26,164
training,044,60,71692,29783,764,41139,6,565,29,170
training,044,61,71891,30024,682,41179,6,504,13,165
training,044,62,71952,30582,466,40889,15,314,35,117
training,044,63,74065,30776,494,42777,18,323,34,137
training,044,64,71817,30425,708,40668,16,540,25,143
training,044,65,71811,30455,550,40791,15,381,30,139
training,044,66,71666,30635,608,40400,23,410,38,160
training,044,67,73653,30333,742,42560,18,544,33,165
training,044,68,71470,30262,616,40575,17,439,36,141
training,044,69,71652,30898,476,40260,18,303,28,145
training,044,70,71700,31659,415,39610,16,215,35,165
training,044,71,73980,32240,432,41287,21,247,28,157
training,044,72,71444,30765,628,40026,25,418,37,173
training,044,73,71236,29788,663,40757,28,428,47,188
training,044,74,73376,29328,752,43266,30,552,53,147
training,044,75,71129,29492,834,40769,34,619,42,173
training,044,76,71368,30013,804,40521,30,585,43,176
training,044,77,71624,30260,612,40731,21,381,48,183
training,044,78,74039,30054,618,43351,16,347,60,211
training,044,79,71808,29944,713,41141,10,431,50,232
training,046,0,74647,32498,1309,40779,61,45,0,1264
training,046,1,72160,30681,1365,40082,32,46,0,1319
training,046,2,71986,29046,1473,41414,53,54,0,1419
training,046,3,71611,27491,1684,42378,58,61,0,1623
training,046,4,73414,26154,1979,45208,73,74,0,1905
training,046,5,71165,25209,2252,43631,73,86,0,2166
training,046,6,71038,23069,2969,44951,49,121,0,2848
training,046,7,72844,21852,3483,47456,53,133,0,3350
training,046,8,70784,21163,4121,45458,42,162,1,3958
training,046,9,71103,21194,5007,44863,39,160,0,4847
training,046,10,71408,21665,5873,43822,48,209,1,5663
training,046,11,73760,22627,5458,45641,34,275,0,5183
training,046,12,71431,23256,4337,43789,49,357,0,3980
training,046,13,71076,23520,2766,44746,44,419,0,2347
training,046,14,70796,24518,991,45227,60,562,0,429
training,046,15,72825,25205,506,47055,59,500,3,3
training,046,16,70916,26215,450,44187,64,445,3,2
training,046,17,71139,27334,379,43362,64,375,0,4
training,046,18,71026,27940,188,42827,71,177,0,11
training,046,19,73266,27963,212,45007,84,203,0,9
training,046,20,71211,27898,241,42985,87,233,3,5
training,046,21,71320,28352,280,42591,97,272,7,1
training,046,22,71418,28703,364,42248,103,362,0,2
training,046,23,73582,28523,419,44512,128,416,0,3
training,046,24,71417,28346,449,42478,144,445,0,4
training,046,25,71420,27938,589,42745,148,584,4,1
training,046,26,71270,27237,597,43276,160,585,0,12
training,046,27,73381,26759,455,45985,182,443,4,8
training,046,28,71331,26958,287,43897,189,263,10,14
training,046,29,71416,27113,203,43888,212,188,3,12
training,046,30,71493,27369,217,43670,237,213,3,1
training,046,31,73754,27829,282,45378,265,272,0,10
training,046,32,71537,27880,357,43008,292,341,0,16
training,046,33,71525,27281,399,43513,332,386,7,6
training,046,34,71424,26949,468,43657,350,446,7,15
training,046,35,73586,26802,555,45871,358,528,7,20
training,046,36,71428,27184,590,43277,377,566,8,16
training,046,37,71595,27699,516,42965,415,502,9,5
training,046,38,73298,27845,221,44691,541,209,0,12
training,046,39,70860,27757,259,42237,607,241,2,16
training,046,40,70434,27636,328,41793,677,306,2,20
training,046,41,69397,27792,428,40448,729,402,5,21
training,046,42,70119,27738,408,41149,824,398,2,8
training,046,43,66531,27581,470,37630,850,455,5,10
training,046,44,65099,27317,484,36400,898,469,0,15
training,046,45,63800,27008,622,35192,978,614,0,8
training,046,46,64989,26788,605,36571,1025,598,0,7
training,046,47,62767,26487,511,34713,1056,502,0,9
training,046,48,62126,26420,410,34213,1083,401,2,7
training,046,49,61057,26203,231,33568,1055,219,4,8
training,046,50,61963,25747,277,34717,1222,262,2,13
training,046,51,58668,25364,353,31818,1133,322,12,19
training,046,52,57980,25044,388,31362,1186,357,8,23
training,046,53,57190,24640,444,30826,1280,417,12,15
training,046,54,58271,24343,460,32133,1335,433,8,19
training,046,55,55760,23886,534,29993,1347,507,5,22
training,046,56,55171,23424,651,29487,1609,618,8,25
training,046,57,54382,23173,573,29061,1575,540,14,19
training,046,58,55313,23190,523,29984,1616,474,14,35
training,046,59,53627,23404,321,28076,1826,264,18,39
training,046,60,53528,23303,355,28046,1824,297,6,52
training,046,61,53414,23093,461,28086,1774,376,15,70
training,046,62,54980,23022,555,29834,1569,454,18,83
training,046,63,53711,22913,553,28527,1718,416,6,131
training,046,64,53869,22244,581,29134,1910,467,23,91
training,046,65,54466,21693,723,30033,2017,630,8,85
training,046,66,56555,21241,969,32228,2117,877,18,74
training,046,67,55340,21131,894,31105,2210,827,23,44
training,046,68,55976,21476,687,31652,2161,610,26,51
training,046,69,56580,21995,290,32171,2124,213,25,52
training,046,70,57585,21946,358,33588,1693,278,27,53
training,046,71,58604,21763,465,34811,1565,380,35,50
training,046,72,59164,21599,428,35462,1675,354,26,48
training,046,73,61797,21372,569,38203,1653,482,32,55
training,046,74,60614,21121,666,37268,1559,576,32,58
training,046,75,61461,21248,595,38171,1447,511,34,50
training,046,76,62126,21851,323,38665,1287,236,37,50
training,046,77,64562,21805,332,41157,1268,245,28,59
training,046,78,63112,21702,415,39619,1376,298,40,77
training,046,79,63663,21953,487,39750,1473,354,40,93
